,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
494,County Bank,Merced,CA,22574,Westamerica Bank,2009-02-06,2012-09-04,2009,1
495,Alliance Bank,Culver City,CA,23124,California Bank & Trust,2009-02-06,2012-08-16,2009,1
496,FirstBank Financial Services,McDonough,GA,57017,Regions Bank,2009-02-06,2012-08-16,2009,1
497,Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.",2009-01-30,2012-09-04,2009,1
498,Suburban FSB,Crofton,MD,30763,Bank of Essex,2009-01-30,2016-02-04,2009,1
499,MagnetBank,Salt Lake City,UT,58001,No Acquirer,2009-01-30,2012-08-16,2009,1
500,1st Centennial Bank,Redlands,CA,33025,First California Bank,2009-01-23,2016-04-13,2009,1
501,Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,2009-01-16,2012-08-16,2009,1
502,National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,2009-01-16,2012-08-16,2009,1
503,Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,2008-12-12,2013-10-25,2008,4
504,Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",2008-12-12,2012-08-16,2008,4
505,First Georgia Community Bank,Jackson,GA,34301,United Bank,2008-12-05,2012-08-16,2008,4
506,PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",2008-11-21,2013-01-04,2008,4
507,Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",2008-11-21,2013-01-04,2008,4
508,Community Bank,Loganville,GA,16490,Bank of Essex,2008-11-21,2012-09-04,2008,4
509,Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,2008-11-07,2012-08-28,2008,4
510,"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,2008-11-07,2012-08-16,2008,4
511,Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,2008-10-31,2012-08-16,2008,4
512,Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",2008-10-24,2012-08-16,2008,4
513,Meridian Bank,Eldred,IL,13789,National Bank,2008-10-10,2012-05-31,2008,4
514,Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,2008-10-10,2013-08-01,2008,4
515,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,2008-09-25,2015-08-04,2008,3
516,Ameribank,Northfork,WV,6782,"The Citizens Savings Bank, Pioneer Community Bank, Inc.",2008-09-19,2015-09-21,2008,3
517,Silver State Bank,Henderson,NV,34194,Nevada State Bank,2008-09-05,2013-10-25,2008,3
518,Integrity Bank,Alpharetta,GA,35469,Regions Bank,2008-08-29,2012-08-16,2008,3
519,Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,2008-08-22,2015-03-26,2008,3
520,First Priority Bank,Bradenton,FL,57523,SunTrust Bank,2008-08-01,2016-12-12,2008,3
521,"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,2008-07-25,2016-09-12,2008,3
522,First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,2008-07-25,2012-08-28,2008,3
523,IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",2008-07-11,2015-04-22,2008,3
524,"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,2008-05-30,2016-10-20,2008,2
525,"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,2008-05-09,2012-08-28,2008,2
526,Hume Bank,Hume,MO,1971,Security Bank,2008-03-07,2012-08-28,2008,1
527,Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,2008-01-25,2012-10-26,2008,1
528,Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,2007-10-04,2016-09-12,2007,4
529,NetBank,Alpharetta,GA,32575,ING DIRECT,2007-09-28,2012-08-28,2007,3
530,Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2007-02-02,2010-10-27,2007,1
531,Bank of Ephraim,Ephraim,UT,1249,Far West Bank,2004-06-25,2008-04-09,2004,2
532,Reliance Bank,White Plains,NY,26778,Union State Bank,2004-03-19,2008-04-09,2004,1
533,Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,2004-03-12,2012-06-05,2004,1
534,Dollar Savings Bank,Newark,NJ,31330,No Acquirer,2004-02-14,2008-04-09,2004,1
535,Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,2003-11-14,2017-10-06,2003,4
536,First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,2003-05-09,2012-06-05,2003,2
537,Southern Pacific Bank,Torrance,CA,27094,Beal Bank,2003-02-07,2008-10-20,2003,1
538,Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,2002-12-17,2004-10-20,2002,4
539,Bank of Alamo,Alamo,TN,9961,No Acquirer,2002-11-08,2005-03-18,2002,4
540,AmTrade International Bank,Atlanta,GA,33784,No Acquirer,2002-09-30,2006-09-11,2002,3
541,Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,2002-06-27,2017-10-06,2002,2
542,Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,2002-06-26,2012-02-14,2002,2
543,New Century Bank,Shelby Township,MI,34979,No Acquirer,2002-03-28,2005-03-18,2002,1
